"Confirmed","Date","Type","Label","Address","Amount (RVN)","Asset","ID"
"true","2018-10-25T20:27:41","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.69044037","RVN","67224d234aafdc1b0d39b592a2530fbcc050fa0b972497484e403e92491a5566"
"true","2018-10-23T18:19:28","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.51679154","RVN","bfc0d5d9f7f1d4ca3ef6434e1a3ca936a228aa92fedea683256192062cf4f2d3"
"true","2018-10-21T02:55:41","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.11521242","RVN","8f12a669deeec1c58e34b44cf377a9139a9d7eca3841705e13ea526d381ede6e"
"true","2018-10-20T17:52:25","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.26252125","RVN","26110372a811215978182c6457675f7a3b2f44506924e6a06504485007c03fe6"
"true","2018-10-19T23:50:37","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.27730565","RVN","10e6b5272d305599f489e3e03f6dd5e9aea29906052e4190336972c386a3f331"
"true","2018-10-18T02:40:16","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.70298724","RVN","928864fc42c090e910060961d0230064f08198efc59edbdf0a3d877770df3ba5"
"true","2018-10-16T23:25:01","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.63130217","RVN","a063f57b8a04f8c54e626a7648eb938da92ffd4b69cfe94078d99b97018a335e"
"true","2018-10-15T23:20:42","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.96448381","RVN","f71f3a1c4c0341eb331a02938d65b9f7dcd46b2827e47df44b3bb1fabf27b0a9"
"true","2018-10-14T20:11:52","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.03706162","RVN","1eaa5bec1f4054c526c852a48b80dcb16eab75a3118413825a02c27b8fb2ec47"
"true","2018-10-14T02:08:26","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.40478754","RVN","e7885df0d4bcc400ec0e9fb47a3533f8aa97b9464c3214ea38e25e013e67f8f4"
"true","2018-10-13T20:05:58","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","10.29956910","RVN","820fa431261cdbcad253f85495b570bd5a72d0eb0350b24b472bba156beabdd4"
"true","2018-10-13T14:06:16","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.93716252","RVN","18dc566b1ddeb5e48d7dcbb3700e3638aef1d3c0504f92acdbd7c646e12d5c61"
"true","2018-10-12T23:00:56","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.72913866","RVN","fc7b107e01ab4b7705bf51176938057e1e188ebb1306d39f484ff1ac9c6bb54f"
"true","2018-10-11T22:53:58","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.57462276","RVN","7b2e46f6a2b3e2adb717ca5414ba99eb54a8be400b3d1b761ac4b2c8913c5c9b"
"true","2018-10-10T22:49:57","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.57202945","RVN","bc2fb0b48e1fd9e0903a7de55aea61b913c15c2c4fe48492ca5add0cfc4b2da8"
"true","2018-10-09T01:39:14","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.55279422","RVN","d01c2a3ffd9d7f0c9ab3ed9f8e73bc60a6ab60d0b36288a6187b67a29796486e"
"true","2018-10-08T01:32:00","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.51103686","RVN","0889a1d839930e6a2d6acd2b6466129ae615d754a0dc6f55eed75f254e964c61"
"true","2018-10-07T19:29:24","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.33888805","RVN","c588eee1b33649cfc5b1d80a88a55889372d749ab10f9fdb81c97e9bf283c6ac"
"true","2018-10-07T13:28:52","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","1.24371150","RVN","192b022f19d15e50128cb842df4228a7928888563760b3d3e2a444b8f2ac1cda"
"true","2018-10-07T10:28:33","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","4.83257411","RVN","294aadccd601dda03932b2f197bc1773d14cecae08e56c9546faa754568dd4bb"
"true","2018-10-06T22:26:20","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.52963890","RVN","ea9944e678866bb7ebb88ed3acdfad32f3ba525ccf68c1d1e533b8a05fffd014"
"true","2018-10-06T19:23:39","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.39374132","RVN","9594b73087114e5fc2b3c4796759c994d816bb31e53f50c30d0d29c9c91714b1"
"true","2018-10-06T16:23:46","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.18030990","RVN","04193538856323909a4b312f2ef0a6b154f287a659ac93c76282f105abe37fe5"
"true","2018-10-06T04:20:33","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.34340478","RVN","a57d411e1b3cfc4821970c337ffc1c90489e84070426b8ef52e24ca21deee31a"
"true","2018-10-05T01:09:58","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.87677076","RVN","b36753ee412cb0323aa8f4f8fde2f5d48363db049ed09bee6f45d0c0c500d494"
"true","2018-10-04T01:01:29","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","9.39747628","RVN","70c26cb5f8bda1f9a471af03cce2280e79604e3c4bdffd85485968a0ef9ae2b2"
"true","2018-10-03T00:58:12","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.03337695","RVN","d91645aa4447f7eaa7ff58b5b97e29da9970b74e6fad8aad89797fdf2183e827"
